;;;;;;;;;;;;;;;;;;
;EEX Power Derivatives Phelix-DE-Base-Month-Future;;;;;;;;;;;;;;;;;
Trading Day;Contract;Delivery Period;Delivery Start;Delivery End;Contract Volume;Open Price;High Price;Low Price;Last Price;"Settlement
Price";Exchange Volume MWh;Exchange Traded Contracts;Exchange Number of Trades;TradeReg Volume MWh;TradeReg Traded Contracts;TradeReg Number of Trades;Open Interest MWh (prev. day);Open Interest Contracts (prev. day)
29-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;30,77;0;0;0;0;0;0;4161192;5593
29-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;40,4;40,5;40,2;40,5;40,38;65472;88;12;22320;30;3;11787192;15843
29-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;44,5;44,5;44,3;44,3;44,35;29568;44;9;3360;5;1;9139872;13601
29-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;;;;;38,21;0;0;0;3715;5;1;10274947;13829
29-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;36,02;0;0;0;0;0;0;198000;275
29-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;33,5;0;0;0;0;0;0;0;0
29-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;35,5;0;0;0;0;0;0;0;0
29-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;35,13;0;0;0;0;0;0;0;0
29-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;33,49;0;0;0;0;0;0;0;0
29-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;36,43;0;0;0;0;0;0;0;0
28-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;30,27;0;0;0;0;0;0;4161192;5593
28-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;39,9;40,1;39,8;39,9;39,93;98952;133;17;18600;25;5;11688984;15711
28-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;44,05;44,25;44;44,25;44,15;23520;35;6;4032;6;2;9131808;13589
28-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;37,8;38,15;37,8;38,15;38,15;26005;35;5;4458;6;2;10270489;13823
28-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;35,9;0;0;0;0;0;0;198000;275
