Trading Day,Contract,Delivery Period,Delivery Start,Delivery End,Contract Volume,Open Price,High Price,Low Price,Last Price,"Settlement
Price",Exchange Volume MWh,Exchange Traded Contracts,Exchange Number of Trades,TradeReg Volume MWh,TradeReg Traded Contracts,TradeReg Number of Trades,Open Interest MWh (prev. day),Open Interest Contracts (prev. day)
12/28/2018,DEBM,2018.12,1/12/2018,31/12/18,744,,,,,48.13,0,0,0,0,0,0,50443200,67800
12/28/2018,DEBM,2019.01,1/1/2019,31/01/19,744,58.5,58.9,58.45,58.8,58.63,87048,117,25,296856,399,66,95976744,129001
12/28/2018,DEBM,2019.02,1/2/2019,28/02/19,672,62.05,63.25,62.05,63.25,62.65,55776,83,18,62496,93,11,82566624,122867
12/28/2018,DEBM,2019.03,1/3/2019,31/03/19,743,53.55,53.55,53.45,53.45,53.28,30463,41,9,44580,60,6,90585074,121918
12/28/2018,DEBM,2019.04,1/4/2019,30/04/19,720,52,52,52,52,51.8,14400,20,4,0,0,0,218160,303
12/28/2018,DEBM,2019.05,1/5/2019,31/05/19,744,,,,,48.5,0,0,0,0,0,0,0,0
12/28/2018,DEBM,2019.06,1/6/2019,30/06/19,720,,,,,52.66,0,0,0,0,0,0,720,1
12/28/2018,DEBM,2019.07,1/7/2019,31/07/19,744,,,,,52.1,0,0,0,0,0,0,0,0
12/28/2018,DEBM,2019.08,1/8/2019,31/08/19,744,,,,,50.14,0,0,0,0,0,0,0,0
12/28/2018,DEBM,2019.09,1/9/2019,30/09/19,720,,,,,55.66,0,0,0,0,0,0,0,0
12/27/2018,DEBM,2018.12,1/12/2018,31/12/18,744,,,,,47.46,0,0,0,0,0,0,50474448,67842
12/27/2018,DEBM,2019.01,1/1/2019,31/01/19,744,60,60,58.5,58.51,58.47,93744,126,17,356376,479,91,7294176,9804
12/27/2018,DEBM,2019.02,1/2/2019,28/02/19,672,62.5,62.5,62.35,62.35,62.4,28896,43,8,131040,195,38,2635584,3922
12/27/2018,DEBM,2019.03,1/3/2019,31/03/19,743,53.5,53.9,53.5,53.8,53.35,20804,28,6,14860,20,4,2350109,3163
12/27/2018,DEBM,2019.04,1/4/2019,30/04/19,720,,,,,51.47,0,0,0,0,0,0,218160,303
12/27/2018,DEBM,2019.05,1/5/2019,31/05/19,744,,,,,48.38,0,0,0,0,0,0,0,0
12/27/2018,DEBM,2019.06,1/6/2019,30/06/19,720,,,,,52.94,0,0,0,0,0,0,720,1
12/27/2018,DEBM,2019.07,1/7/2019,31/07/19,744,,,,,51.88,0,0,0,0,0,0,0,0
12/27/2018,DEBM,2019.08,1/8/2019,31/08/19,744,,,,,49.91,0,0,0,0,0,0,0,0
12/27/2018,DEBM,2019.09,1/9/2019,30/09/19,720,,,,,55.45,0,0,0,0,0,0,0,0
12/21/2018,DEBM,2018.12,1/12/2018,31/12/18,744,,,,,48.2,0,0,0,0,0,0,50474448,67842
12/21/2018,DEBM,2019.01,1/1/2019,31/01/19,744,62.05,63.1,62.05,63.1,63.43,42408,57,15,230640,310,41,7111152,9558
12/21/2018,DEBM,2019.02,1/2/2019,28/02/19,672,63.8,64.4,63.8,64.4,64.36,53760,80,27,14784,22,5,2618784,3897
12/21/2018,DEBM,2019.03,1/3/2019,31/03/19,743,53.75,53.75,53.55,53.6,53.49,27491,37,7,0,0,0,2322618,3126
12/21/2018,DEBM,2019.04,1/4/2019,30/04/19,720,,,,,51.89,0,0,0,3600,5,1,214560,298
12/21/2018,DEBM,2019.05,1/5/2019,31/05/19,744,,,,,48.81,0,0,0,0,0,0,0,0
12/21/2018,DEBM,2019.06,1/6/2019,30/06/19,720,,,,,53.43,0,0,0,0,0,0,720,1
12/21/2018,DEBM,2019.07,1/7/2019,31/07/19,744,,,,,52.73,0,0,0,0,0,0,0,0
12/21/2018,DEBM,2019.08,1/8/2019,31/08/19,744,,,,,50.73,0,0,0,0,0,0,0,0
12/21/2018,DEBM,2019.09,1/9/2019,30/09/19,720,,,,,56.33,0,0,0,0,0,0,0,0
12/20/2018,DEBM,2018.12,1/12/2018,31/12/18,744,,,,,47.78,0,0,0,0,0,0,50474448,67842
12/20/2018,DEBM,2019.01,1/1/2019,31/01/19,744,61.75,61.8,61.05,61.7,61.6,142848,192,47,230640,310,21,6763704,9091
12/20/2018,DEBM,2019.02,1/2/2019,28/02/19,672,63.75,64.3,63.1,63.38,63.38,150528,224,47,149184,222,25,2362080,3515
12/20/2018,DEBM,2019.03,1/3/2019,31/03/19,743,53.4,53.45,53.15,53.15,53.15,55725,75,13,33435,45,6,2252033,3031
12/20/2018,DEBM,2019.04,1/4/2019,30/04/19,720,51.8,51.8,51.75,51.75,51.7,9360,13,3,0,0,0,205200,285
12/20/2018,DEBM,2019.05,1/5/2019,31/05/19,744,,,,,48.98,0,0,0,0,0,0,0,0
12/20/2018,DEBM,2019.06,1/6/2019,30/06/19,720,,,,,53.66,0,0,0,0,0,0,720,1
12/20/2018,DEBM,2019.07,1/7/2019,31/07/19,744,,,,,52.66,0,0,0,0,0,0,0,0
12/20/2018,DEBM,2019.08,1/8/2019,31/08/19,744,,,,,50.67,0,0,0,0,0,0,0,0
12/20/2018,DEBM,2019.09,1/9/2019,30/09/19,720,,,,,56.26,0,0,0,0,0,0,0,0
12/19/2018,DEBM,2018.12,1/12/2018,31/12/18,744,,,,,47.1,0,0,0,0,0,0,50474448,67842
12/19/2018,DEBM,2019.01,1/1/2019,31/01/19,744,63,63.25,61.65,61.9,61.76,36456,49,11,241800,325,60,6501816,8739
12/19/2018,DEBM,2019.02,1/2/2019,28/02/19,672,64.45,64.45,63.8,64.05,63.95,16128,24,16,159264,237,30,2190048,3259
12/19/2018,DEBM,2019.03,1/3/2019,31/03/19,743,53.95,53.95,53.75,53.75,53.85,8916,12,3,29720,40,5,2213397,2979
12/19/2018,DEBM,2019.04,1/4/2019,30/04/19,720,52.45,52.45,52.45,52.45,52.64,21600,30,1,0,0,0,183600,255
12/19/2018,DEBM,2019.05,1/5/2019,31/05/19,744,,,,,50.2,0,0,0,0,0,0,0,0
12/19/2018,DEBM,2019.06,1/6/2019,30/06/19,720,,,,,55.03,0,0,0,0,0,0,720,1
12/19/2018,DEBM,2019.07,1/7/2019,31/07/19,744,,,,,53.5,0,0,0,0,0,0,0,0
12/19/2018,DEBM,2019.08,1/8/2019,31/08/19,744,,,,,51.48,0,0,0,0,0,0,0,0
12/19/2018,DEBM,2019.09,1/9/2019,30/09/19,720,,,,,57.16,0,0,0,0,0,0,0,0
12/18/2018,DEBM,2018.12,1/12/2018,31/12/18,744,,,,,45.4,0,0,0,0,0,0,50474448,67842
12/18/2018,DEBM,2019.01,1/1/2019,31/01/19,744,61.6,61.6,60.6,60.9,60.96,94488,127,29,407712,548,109,6083688,8177
