Trading Day,Product,Maturity,Delivery Start,Delivery End,Lot Size,Settlement Price,Open Price,Timestamp Open Price ,High Price,Timestamp High Price,Low Price,Timestamp Low Price,Last  Price,Timestamp Last Price,Traded Lots,Traded Volume,Number of Trades,Open Interest Volume (prev. day),Open Interest Lots (prev. day),Traded Lots,Traded Volume,Number of Trades
12/30/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,31.97,,,,,,,,,,,,"131,554,824 MWh","176,821",,,
12/30/2019,DEBM,2020-01,1/1/2020,1/31/2020,744 MWh,36.5,36.5,2019-12-30T08:31:47,36.7,2019-12-30T14:38:35,36.3,2019-12-30T10:23:12,36.5,2019-12-30T17:35:14,387,"287,928 MWh",247,"141,355,536 MWh","189,994",956,"711,264 MWh",88
12/30/2019,DEBM,2020-02,2/1/2020,2/29/2020,696 MWh,40.75,41.5,2019-12-30T08:48:48,41.94,2019-12-30T09:06:25,40.75,2019-12-30T15:14:44,40.9,2019-12-30T15:36:24,169,"117,624 MWh",42,"121,655,928 MWh","174,793",344,"239,424 MWh",55
12/30/2019,DEBM,2020-03,3/1/2020,3/31/2020,743 MWh,37.83,38.2,2019-12-30T09:18:29,38.2,2019-12-30T09:18:29,37.85,2019-12-30T15:49:18,37.85,2019-12-30T16:30:47,116,"86,188 MWh",25,"126,314,458 MWh","170,006",219,"162,717 MWh",28
12/30/2019,DEBM,2020-04,4/1/2020,4/30/2020,720 MWh,36.51,,,,,,,,,,,,"95,040 MWh",132,,,
12/30/2019,DEBM,2020-05,5/1/2020,5/31/2020,744 MWh,35.84,,,,,,,,,,,,"3,720 MWh",5,,,
12/30/2019,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,37.26,,,,,,,,,,,,"6,480 MWh",9,,,
12/30/2019,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,38.96,,,,,,,,,,,,,,,,
12/30/2019,DEBM,2020-08,8/1/2020,8/31/2020,744 MWh,38.75,,,,,,,,,,,,,,,,
12/30/2019,DEBM,2020-09,9/1/2020,9/30/2020,720 MWh,42.74,,,,,,,,,,,,,,,,
12/27/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,31.76,,,,,,,,,,,,"131,554,824 MWh","176,821",,,
12/27/2019,DEBM,2020-01,1/1/2020,1/31/2020,744 MWh,37.8,38.42,2019-12-27T09:31:33,38.42,2019-12-27T09:31:33,37.5,2019-12-27T11:40:41,37.9,2019-12-27T16:06:31,363,"270,072 MWh",205,"141,267,744 MWh","189,876",622,"462,768 MWh",77
12/27/2019,DEBM,2020-02,2/1/2020,2/29/2020,696 MWh,42.65,42.7,2019-12-27T08:39:39,43,2019-12-27T09:14:00,42.1,2019-12-27T11:48:14,42.5,2019-12-27T16:51:49,477,"331,992 MWh",165,"122,150,088 MWh","175,503",372,"258,912 MWh",50
12/27/2019,DEBM,2020-03,3/1/2020,3/31/2020,743 MWh,38.45,37.75,2019-12-27T08:38:02,38.45,2019-12-27T15:48:44,37.75,2019-12-27T08:38:02,38.45,2019-12-27T15:48:44,632,"469,576 MWh",176,"127,015,850 MWh","170,950",202,"150,086 MWh",16
12/27/2019,DEBM,2020-04,4/1/2020,4/30/2020,720 MWh,37.21,,,,,,,,,,,,"95,040 MWh",132,,,
12/27/2019,DEBM,2020-05,5/1/2020,5/31/2020,744 MWh,36.64,,,,,,,,,,,,"3,720 MWh",5,,,
12/27/2019,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,38.14,,,,,,,,,,,,"6,480 MWh",9,,,
12/27/2019,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,40.66,,,,,,,,,,,,,,,,
12/27/2019,DEBM,2020-08,8/1/2020,8/31/2020,744 MWh,39.12,,,,,,,,,,,,,,,,
12/27/2019,DEBM,2020-09,9/1/2020,9/30/2020,720 MWh,43.2,,,,,,,,,,,,,,,,
