Trading Day,Product,Maturity,Delivery Start,Delivery End,Lot Size,Settlement Price,Open Price,Timestamp Open Price ,High Price,Timestamp High Price,Low Price,Timestamp Low Price,Last  Price,Timestamp Last Price,Traded Lots,Traded Volume,Number of Trades,Open Interest Volume,Open Interest Lots,Traded Lots,Traded Volume,Number of Trades
12/30/2020,DEBM,2020-12,12/1/2020,12/31/2020,744 MWh,43.52,,,,,,,,,,,,"185,834,088 MWh","249,777",,,
12/30/2020,DEBM,2021-01,1/1/2021,1/31/2021,744 MWh,54.53,57.5,2020-12-30T08:40:20,57.6,2020-12-30T08:45:02,54.5,2020-12-30T14:47:39,54.6,2020-12-30T16:51:15,201,"149,544 MWh",66,"176,887,488 MWh","237,752",459,"341,496 MWh",46
12/30/2020,DEBM,2021-02,2/1/2021,2/28/2021,672 MWh,53.47,54.6,2020-12-30T09:13:07,54.6,2020-12-30T09:13:07,53,2020-12-30T17:53:03,53,2020-12-30T17:53:09,271,"182,112 MWh",87,"145,755,456 MWh","216,898",697,"468,384 MWh",50
12/30/2020,DEBM,2021-03,3/1/2021,3/31/2021,743 MWh,46.59,47,2020-12-30T08:12:48,47.15,2020-12-30T12:32:56,47,2020-12-30T08:12:47,47,2020-12-30T15:26:44,58,"43,094 MWh",12,"158,491,559 MWh","213,313",532,"395,276 MWh",22
12/30/2020,DEBM,2021-04,4/1/2021,4/30/2021,720 MWh,43.97,43.9,2020-12-30T08:43:34,43.9,2020-12-30T08:43:34,43.65,2020-12-30T14:55:14,43.65,2020-12-30T15:04:05,21,"15,120 MWh",14,"122,400 MWh",170,,,
12/30/2020,DEBM,2021-05,5/1/2021,5/31/2021,744 MWh,42.14,,,,,,,,,,,,,,,,
12/30/2020,DEBM,2021-06,6/1/2021,6/30/2021,720 MWh,45.11,,,,,,,,,,,,"1,440 MWh",2,,,
12/30/2020,DEBM,2021-07,7/1/2021,7/31/2021,744 MWh,45.41,,,,,,,,,,,,,,,,
12/30/2020,DEBM,2021-08,8/1/2021,8/31/2021,744 MWh,43.96,,,,,,,,,,,,,,,,
12/30/2020,DEBM,2021-09,9/1/2021,9/30/2021,720 MWh,49.73,,,,,,,,,,,,,,,,
12/29/2020,DEBM,2020-12,12/1/2020,12/31/2020,744 MWh,43.45,,,,,,,,,,,,"185,834,088 MWh","249,777",,,
12/29/2020,DEBM,2021-01,1/1/2021,1/31/2021,744 MWh,55.59,59,2020-12-29T08:10:08,59,2020-12-29T08:10:08,55.25,2020-12-29T16:54:32,55.75,2020-12-29T17:38:42,235,"174,840 MWh",76,"177,170,208 MWh","238,132",957,"712,008 MWh",104
12/29/2020,DEBM,2021-02,2/1/2021,2/28/2021,672 MWh,53.26,54,2020-12-29T08:48:01,54,2020-12-29T08:48:01,52.9,2020-12-29T10:23:06,53.25,2020-12-29T17:23:24,247,"165,984 MWh",122,"145,502,112 MWh","216,521",405,"272,160 MWh",52
12/29/2020,DEBM,2021-03,3/1/2021,3/31/2021,743 MWh,46.83,47,2020-12-29T09:28:59,47.3,2020-12-29T13:14:40,46.7,2020-12-29T17:12:03,46.7,2020-12-29T17:12:03,175,"130,025 MWh",46,"158,451,437 MWh","213,259",116,"86,188 MWh",20
12/29/2020,DEBM,2021-04,4/1/2021,4/30/2021,720 MWh,43.93,44,2020-12-29T08:58:18,44,2020-12-29T08:58:18,43.65,2020-12-29T15:39:28,43.65,2020-12-29T16:07:20,15,"10,800 MWh",7,"107,280 MWh",149,,,
12/29/2020,DEBM,2021-05,5/1/2021,5/31/2021,744 MWh,42.08,,,,,,,,,,,,,,,,
12/29/2020,DEBM,2021-06,6/1/2021,6/30/2021,720 MWh,45.14,,,,,,,,,,,,"1,440 MWh",2,,,
12/29/2020,DEBM,2021-07,7/1/2021,7/31/2021,744 MWh,45.28,,,,,,,,,,,,,,,,
12/29/2020,DEBM,2021-08,8/1/2021,8/31/2021,744 MWh,43.83,,,,,,,,,,,,,,,,
12/29/2020,DEBM,2021-09,9/1/2021,9/30/2021,720 MWh,49.61,,,,,,,,,,,,,,,,
12/28/2020,DEBM,2020-12,12/1/2020,12/31/2020,744 MWh,43.09,,,,,,,,,,,,"185,834,088 MWh","249,777",,,
12/28/2020,DEBM,2021-01,1/1/2021,1/31/2021,744 MWh,59.5,56,2020-12-28T08:00:35,60.5,2020-12-28T10:27:26,56,2020-12-28T08:00:35,60,2020-12-28T17:59:09,443,"329,592 MWh",117,"21,261,288 MWh","28,577",591,"439,704 MWh",103
12/28/2020,DEBM,2021-02,2/1/2021,2/28/2021,672 MWh,54.42,55.85,2020-12-28T08:40:54,56.35,2020-12-28T10:51:10,54.75,2020-12-28T13:10:53,54.75,2020-12-28T17:49:37,178,"119,616 MWh",39,"4,749,024 MWh","7,067",56,"37,632 MWh",11
12/28/2020,DEBM,2021-03,3/1/2021,3/31/2021,743 MWh,47.57,48.25,2020-12-28T08:56:04,49,2020-12-28T09:48:31,47.75,2020-12-28T13:10:53,47.75,2020-12-28T13:10:53,33,"24,519 MWh",8,"2,977,944 MWh","4,008",50,"37,150 MWh",10
12/28/2020,DEBM,2021-04,4/1/2021,4/30/2021,720 MWh,44.84,44,2020-12-28T08:52:23,44.75,2020-12-28T11:02:04,44,2020-12-28T08:52:23,44.75,2020-12-28T12:55:32,9,"6,480 MWh",5,"96,480 MWh",134,,,
12/28/2020,DEBM,2021-05,5/1/2021,5/31/2021,744 MWh,42.97,,,,,,,,,,,,,,,,
12/28/2020,DEBM,2021-06,6/1/2021,6/30/2021,720 MWh,46.07,,,,,,,,,,,,"1,440 MWh",2,,,
12/28/2020,DEBM,2021-07,7/1/2021,7/31/2021,744 MWh,46.3,,,,,,,,,,,,,,,,
12/28/2020,DEBM,2021-08,8/1/2021,8/31/2021,744 MWh,44.82,,,,,,,,,,,,,,,,
12/28/2020,DEBM,2021-09,9/1/2021,9/30/2021,720 MWh,50.72,,,,,,,,,,,,,,,,
12/23/2020,DEBM,2020-12,12/1/2020,12/31/2020,744 MWh,43.6,,,,,,,,,,,,"185,834,088 MWh","249,777",,,
12/23/2020,DEBM,2021-01,1/1/2021,1/31/2021,744 MWh,52.98,52.5,2020-12-23T08:15:03,54.4,2020-12-23T10:18:34,52.5,2020-12-23T08:15:03,53.65,2020-12-23T17:30:39,466,"346,704 MWh",106,"20,776,944 MWh","27,926",937,"697,128 MWh",132
12/23/2020,DEBM,2021-02,2/1/2021,2/28/2021,672 MWh,51.06,51.95,2020-12-23T08:45:04,52.45,2020-12-23T09:16:48,51,2020-12-23T15:13:44,51,2020-12-23T16:54:42,243,"163,296 MWh",65,"4,617,312 MWh","6,871",160,"107,520 MWh",33
12/23/2020,DEBM,2021-03,3/1/2021,3/31/2021,743 MWh,45.97,45.75,2020-12-23T09:33:44,46.25,2020-12-23T16:58:29,45.69,2020-12-23T15:41:54,46,2020-12-23T17:55:37,114,"84,702 MWh",29,"2,920,733 MWh","3,931",55,"40,865 MWh",11
12/23/2020,DEBM,2021-04,4/1/2021,4/30/2021,720 MWh,43,42.5,2020-12-23T08:51:56,43,2020-12-23T09:59:51,42.5,2020-12-23T08:51:56,43,2020-12-23T09:59:51,2,"1,440 MWh",2,"90,000 MWh",125,,,
12/23/2020,DEBM,2021-05,5/1/2021,5/31/2021,744 MWh,41.38,,,,,,,,,,,,,,,,
12/23/2020,DEBM,2021-06,6/1/2021,6/30/2021,720 MWh,44.57,,,,,,,,,,,,"1,440 MWh",2,,,
12/23/2020,DEBM,2021-07,7/1/2021,7/31/2021,744 MWh,44.84,,,,,,,,,,,,,,,,
